,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_AC5(kW),z2_AC6(kW),z2_AC7(kW),z2_AC8(kW),z2_AC9(kW),z2_AC10(kW),z2_AC11(kW),z2_AC12(kW),z2_AC13(kW),z2_AC14(kW),z2_Light(kW),z2_Plug(kW),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_S1(degC),z3_S1(RH%),z3_S1(lux),z4_S1(degC),z4_S1(RH%),z4_S1(lux),temperature (°C),humidity (%)
2019-08-06 14:00:00,24.215833333333332,7.72,3.416,23.882666666666665,1.1173333333333333,0.8421666666666666,0.9543333333333334,1.3731666666666666,0.2763333333333333,0.9671666666666666,0.032999999999999995,1.09,0.03866666666666667,0.0,0.0,0.0,0.0,1.9905,0.48766666666666664,0.9018333333333334,0.38999999999999996,6.999666666666666,1.5838333333333334,0.03,20.481333333333332,64.9015,75.98333333333333,20.682666666666666,74.09366666666666,45.55,25.0935,58.539833333333334,4.55,18.209,79.76966666666667,41.56666666666667,31.7,60.0
2019-08-06 15:00:00,26.593166666666665,7.731833333333333,3.368333333333333,24.1325,1.1693333333333333,0.8911666666666667,1.0078333333333334,1.3296666666666666,0.37016666666666664,0.9236666666666666,0.11633333333333333,1.0341666666666667,0.1385,0.0,0.0,0.04583333333333334,0.0,2.064,0.4745,0.9203333333333333,0.38999999999999996,6.871333333333333,1.5878333333333332,0.03,20.771833333333333,63.69883333333333,74.51666666666667,20.799500000000002,75.11550000000001,45.86666666666667,25.205166666666667,59.166000000000004,4.3,18.283666666666665,80.619,42.483333333333334,31.3,64.0
2019-08-06 16:00:00,23.224666666666668,7.7844999999999995,2.906833333333333,22.939166666666665,1.2031666666666667,0.924,1.0496666666666667,1.315,0.23983333333333334,0.9031666666666667,0.0,1.0153333333333334,0.0,0.0,0.0,0.11599999999999999,0.0,2.269833333333333,0.40249999999999997,0.9658333333333333,0.38999999999999996,5.960666666666667,1.5976666666666666,0.03,20.69816666666667,64.634,72.33333333333333,20.78083333333333,76.03166666666667,49.0,25.007333333333335,60.301,6.133333333333334,18.311333333333334,81.8005,40.6,31.0,64.0
2019-08-06 17:00:00,16.09733333333333,5.989166666666667,1.7523333333333333,1.3708333333333333,0.6595,0.39966666666666667,0.45516666666666666,1.3335000000000001,0.15283333333333335,0.9068333333333333,0.028,1.0246666666666666,0.0335,0.0,0.0,0.0,0.0,2.1508333333333334,0.31866666666666665,0.8748333333333332,0.4265,0.26266666666666666,1.2465,0.03,21.712833333333332,62.305,62.1,23.264666666666667,70.61483333333334,46.86666666666667,26.328166666666668,63.86483333333333,7.666666666666667,21.09466666666667,77.595,36.0,30.1,68.0
2019-08-06 18:00:00,20.000166666666665,4.1241666666666665,1.171,0.15,0.24,0.0,0.0,1.2933333333333334,0.01,0.8661666666666666,0.0,0.9766666666666667,0.0,0.0,0.0,0.0,0.0,1.067,0.10733333333333334,0.8106666666666666,0.39016666666666666,0.0,0.9606666666666667,0.03,20.319333333333336,64.098,26.083333333333332,24.644333333333336,66.22383333333333,6.0,26.407500000000002,58.189,7.0,23.219333333333335,72.882,29.483333333333334,28.9,78.0
2019-08-06 19:00:00,19.990166666666667,3.4461666666666666,0.9371666666666666,0.15,0.24,0.0,0.0,1.2956666666666667,0.01,0.8638333333333333,0.0,0.9661666666666666,0.0,0.0,0.0,0.0,0.0,0.36533333333333334,0.08,0.8151666666666666,0.38416666666666666,0.0,0.45099999999999996,0.03,20.114833333333333,63.58316666666667,6.116666666666666,24.843833333333333,64.8155,0.43333333333333335,26.478166666666667,55.92550000000001,6.983333333333333,23.706833333333336,70.78316666666666,12.9,27.7,87.0
2019-08-06 20:00:00,19.968,0.10483333333333333,0.39016666666666666,0.15,0.24,0.0,0.0,1.2831666666666668,0.01,0.8564999999999999,0.0,0.9526666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.08016666666666666,0.45116666666666666,0.24033333333333334,0.0,0.0,0.03,19.48,64.49516666666666,0.06666666666666667,25.395333333333333,63.783833333333334,0.0,26.650166666666667,61.3545,6.016666666666667,23.810166666666664,71.076,0.0,27.4,89.0
2019-08-06 21:00:00,0.8233333333333333,0.010499999999999999,0.39166666666666666,0.15,0.24216666666666667,0.0,0.0,1.2835,0.01,0.8514999999999999,0.0,0.9474999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1795,0.24,0.0,0.0,0.03,21.546,60.77316666666666,0.0,25.151333333333334,62.573,0.0,26.886333333333333,67.3565,5.983333333333333,23.898500000000002,70.95616666666666,0.0,27.2,92.0
2019-08-06 22:00:00,0.0,0.011333333333333332,0.3895,0.15,0.2405,0.0,0.0,1.2885,0.01,0.8571666666666666,0.0,0.9508333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17883333333333332,0.24,0.0,0.0,0.03,23.294833333333333,58.189499999999995,0.0,25.267333333333333,62.260999999999996,0.0,27.235833333333336,73.659,5.933333333333334,24.3785,71.66383333333333,0.0,27.1,93.0
2019-08-06 23:00:00,0.0,0.011,0.3908333333333333,0.3105,0.1525,0.026166666666666664,0.029500000000000002,1.252,0.33066666666666666,0.8115,0.13366666666666666,0.9103333333333333,0.16,0.0,0.0,0.0,0.0,0.0,0.0805,0.17983333333333332,0.24183333333333334,0.0,0.0,0.028666666666666667,23.829333333333334,60.096000000000004,0.0,25.382,62.167833333333334,0.0,26.705499999999997,71.23916666666668,1.0,24.15583333333333,72.57583333333334,0.0,27.0,89.0
